
{'Nombre: ': 'OSCAR', 'matemáticas': 7, 'FQ': 6, 'EF': 7, 'plástica': 1, 'historia': 0, 'geografía': 2, 'castellano': 7, 'TIC': 6, 'Cuci': 3, 'biología': 4}
{'Nombre: ': 'MARIA DEL CARMEN', 'matemáticas': 2, 'FQ': 6, 'EF': 6, 'plástica': 7, 'historia': 6, 'geografía': 8, 'castellano': 3, 'TIC': 1, 'Cuci': 3, 'biología': 8}
{'Nombre: ': 'ANTONIO', 'matemáticas': 4, 'FQ': 5, 'EF': 3, 'plástica': 5, 'historia': 2, 'geografía': 10, 'castellano': 10, 'TIC': 7, 'Cuci': 5, 'biología': 0}
{'Nombre: ': 'MARIA', 'matemáticas': 4, 'FQ': 0, 'EF': 2, 'plástica': 2, 'historia': 5, 'geografía': 7, 'castellano': 5, 'TIC': 8, 'Cuci': 8, 'biología': 3}
{'Nombre: ': 'MANUEL', 'matemáticas': 9, 'FQ': 6, 'EF': 9, 'plástica': 10, 'historia': 2, 'geografía': 8, 'castellano': 1, 'TIC': 10, 'Cuci': 10, 'biología': 10}
{'Nombre: ': 'CARMEN', 'matemáticas': 10, 'FQ': 0, 'EF': 9, 'plástica': 2, 'historia': 6, 'geografía': 10, 'castellano': 6, 'TIC': 0, 'Cuci': 10, 'biología': 4}
{'Nombre: ': 'JOSE', 'matemáticas': 2, 'FQ': 6, 'EF': 10, 'plástica': 2, 'historia': 5, 'geografía': 5, 'castellano': 8, 'TIC': 7, 'Cuci': 9, 'biología': 9}
{'Nombre: ': 'ANA MARIA', 'matemáticas': 8, 'FQ': 0, 'EF': 6, 'plástica': 4, 'historia': 5, 'geografía': 0, 'castellano': 8, 'TIC': 9, 'Cuci': 0, 'biología': 0}
{'Nombre: ': 'FRANCISCO', 'matemáticas': 10, 'FQ': 7, 'EF': 3, 'plástica': 10, 'historia': 10, 'geografía': 3, 'castellano': 0, 'TIC': 10, 'Cuci': 2, 'biología': 7}
{'Nombre: ': 'MARIA PILAR', 'matemáticas': 1, 'FQ': 2, 'EF': 2, 'plástica': 3, 'historia': 6, 'geografía': 6, 'castellano': 7, 'TIC': 7, 'Cuci': 0, 'biología': 0}
{'Nombre: ': 'DAVID', 'matemáticas': 3, 'FQ': 0, 'EF': 3, 'plástica': 6, 'historia': 5, 'geografía': 1, 'castellano': 10, 'TIC': 8, 'Cuci': 4, 'biología': 9}
{'Nombre: ': 'LAURA', 'matemáticas': 9, 'FQ': 9, 'EF': 5, 'plástica': 7, 'historia': 5, 'geografía': 6, 'castellano': 7, 'TIC': 3, 'Cuci': 10, 'biología': 4}
{'Nombre: ': 'PILAR', 'matemáticas': 4, 'FQ': 0, 'EF': 1, 'plástica': 10, 'historia': 2, 'geografía': 0, 'castellano': 2, 'TIC': 4, 'Cuci': 3, 'biología': 1}


